expected_items,target_fpr,bloom_size_bits,bloom_memory_bytes,bits_per_expected_item,approx_python_set_bytes,compression_rate,num_hashes
10000,0.1,47926,5991,4.7926,1103394,184.1752628943415,3
10000,0.05,62353,7795,6.2353,1103394,141.5515073765234,4
10000,0.01,95851,11982,9.5851,1103394,92.08763144717075,7
10000,0.001,143776,17972,14.3776,1103394,61.395170264856446,10
50000,0.1,239627,29954,4.79254,5036258,168.13307070841958,3
50000,0.05,311762,38971,6.23524,5036258,129.23091529598932,4
50000,0.01,479253,59907,9.58506,5036258,84.06793863822257,7
50000,0.001,718880,89860,14.3776,5036258,56.04560427331404,10
100000,0.1,479253,59907,4.79253,10083410,168.31772580833626,3
100000,0.05,623523,77941,6.23523,10083410,129.37234574870735,4
100000,0.01,958506,119814,9.58506,10083410,84.15886290416813,7
100000,0.001,1437759,179720,14.37759,10083410,56.106220787892276,10
500000,0.1,2396265,299534,4.79253,46666322,155.79641042419223,3
500000,0.05,3117613,389702,6.235226,46666322,119.74873621382493,4
500000,0.01,4792530,599067,9.58506,46666322,77.89833524463874,7
500000,0.001,7188794,898600,14.377588,46666322,51.93225239261073,10
1000000,0.1,4792530,599067,4.79253,93443538,155.9817816704976,3
1000000,0.05,6235225,779404,6.235225,93443538,119.8910167256006,4
1000000,0.01,9585059,1198133,9.585059,93443538,77.99095592893276,7
1000000,0.001,14377588,1797199,14.377588,93443538,51.99398508456771,10
